MAG	recipient	outcome	Recipient	transplant_sample	FMT Method	transplant_mean_cov_Q2Q3	AST_count_detec	AST_frac_detec	AUS_count_detec	AUS_frac_detec	BAN_count_detec	BAN_frac_detec	CAN_count_detec	CAN_frac_detec	CHI_count_detec	CHI_frac_detec	DEN_count_detec	DEN_frac_detec	ENG_count_detec	ENG_frac_detec	ETH_count_detec	ETH_frac_detec	FIJ_count_detec	FIJ_frac_detec	ISR_count_detec	ISR_frac_detec	ITA_count_detec	ITA_frac_detec	MAD_count_detec	MAD_frac_detec	MON_count_detec	MON_frac_detec	PER_count_detec	PER_frac_detec	SPA_count_detec	SPA_frac_detec	TAN_count_detec	TAN_frac_detec	USA_count_detec	USA_frac_detec
DB_MAG_00017	R05	no_colonization	R05	DB_D_07	pill	0.494226310773	7.0	0.0457516339869281	1.0	0.08333333333333333	0.0	0.0	4.0	0.17391304347826084	7.0	0.03723404255319149	68.0	0.23943661971830985	18.0	0.08530805687203792	2.0	0.4	4.0	0.02325581395348837	56.0	0.1686746987951807	0.0	0.0	17.0	0.15178571428571427	15.0	0.13636363636363635	4.0	0.1111111111111111	15.0	0.0949367088607595	0.0	0.0	3.0	0.024590163934426233
DB_MAG_00019	R02	no_colonization	R02	DB_D_11	colonoscopy	2.4484782309099997	88.0	0.5751633986928104	4.0	0.3333333333333333	0.0	0.0	20.0	0.8695652173913043	69.0	0.3670212765957447	192.0	0.676056338028169	129.0	0.6113744075829384	5.0	1.0	5.0	0.02906976744186046	224.0	0.6746987951807228	2.0	0.18181818181818185	11.0	0.09821428571428573	102.0	0.9272727272727272	15.0	0.4166666666666667	69.0	0.4367088607594937	5.0	0.1851851851851852	54.0	0.4426229508196721
DB_MAG_00020	R02	no_colonization	R02	DB_D_11	colonoscopy	6.4670938180699995	68.0	0.4444444444444444	7.0	0.5833333333333334	0.0	0.0	19.0	0.8260869565217391	61.0	0.32446808510638303	196.0	0.6901408450704225	171.0	0.8104265402843602	0.0	0.0	0.0	0.0	261.0	0.7861445783132529	3.0	0.2727272727272727	3.0	0.026785714285714284	40.0	0.3636363636363637	0.0	0.0	94.0	0.5949367088607594	0.0	0.0	60.0	0.4918032786885246
DB_MAG_00021	R01	no_colonization	R01	DB_D_08	colonoscopy	1.85433665523	12.0	0.0784313725490196	1.0	0.08333333333333333	0.0	0.0	0.0	0.0	16.0	0.0851063829787234	59.0	0.20774647887323944	8.0	0.03791469194312797	2.0	0.4	0.0	0.0	61.0	0.18373493975903613	0.0	0.0	5.0	0.04464285714285714	8.0	0.07272727272727272	1.0	0.027777777777777776	14.0	0.08860759493670886	0.0	0.0	7.0	0.05737704918032788
DB_MAG_00021	R02	no_colonization	R02	DB_D_11	colonoscopy	1.66418151026	12.0	0.0784313725490196	1.0	0.08333333333333333	0.0	0.0	0.0	0.0	16.0	0.0851063829787234	59.0	0.20774647887323944	8.0	0.03791469194312797	2.0	0.4	0.0	0.0	61.0	0.18373493975903613	0.0	0.0	5.0	0.04464285714285714	8.0	0.07272727272727272	1.0	0.027777777777777776	14.0	0.08860759493670886	0.0	0.0	7.0	0.05737704918032788
DB_MAG_00024	R02	no_colonization	R02	DB_D_11	colonoscopy	2.83377183542	73.0	0.477124183006536	1.0	0.08333333333333333	0.0	0.0	12.0	0.5217391304347826	18.0	0.09574468085106384	107.0	0.3767605633802817	115.0	0.5450236966824644	0.0	0.0	1.0	0.005813953488372093	109.0	0.32831325301204817	3.0	0.2727272727272727	2.0	0.017857142857142856	16.0	0.14545454545454545	3.0	0.08333333333333333	41.0	0.25949367088607594	0.0	0.0	45.0	0.3688524590163935
DB_MAG_00026	R02	no_colonization	R02	DB_D_11	colonoscopy	1.8130536557199999	12.0	0.0784313725490196	3.0	0.25	0.0	0.0	5.0	0.21739130434782608	9.0	0.04787234042553192	71.0	0.25	32.0	0.15165876777251186	0.0	0.0	0.0	0.0	49.0	0.14759036144578316	1.0	0.09090909090909093	0.0	0.0	2.0	0.01818181818181818	0.0	0.0	34.0	0.21518987341772156	0.0	0.0	12.0	0.09836065573770493
DB_MAG_00030	R04	no_colonization	R04	DB_D_13	pill	6.148356994229999	100.0	0.6535947712418301	8.0	0.6666666666666666	1.0	0.03571428571428571	17.0	0.7391304347826086	104.0	0.5531914893617021	187.0	0.6584507042253521	159.0	0.7535545023696683	3.0	0.6	16.0	0.09302325581395347	222.0	0.6686746987951807	6.0	0.5454545454545454	56.0	0.5	49.0	0.44545454545454544	27.0	0.75	70.0	0.4430379746835443	12.0	0.4444444444444444	63.0	0.5163934426229508
DB_MAG_00032	R04	no_colonization	R04	DB_D_13	pill	8.19432682404	60.0	0.392156862745098	4.0	0.3333333333333333	0.0	0.0	8.0	0.3478260869565217	54.0	0.2872340425531915	98.0	0.34507042253521125	87.0	0.41232227488151657	4.0	0.8	12.0	0.06976744186046513	99.0	0.2981927710843373	5.0	0.4545454545454545	37.0	0.33035714285714285	39.0	0.3545454545454545	21.0	0.5833333333333334	37.0	0.23417721518987344	6.0	0.2222222222222222	21.0	0.1721311475409836
DB_MAG_00034	R02	no_colonization	R02	DB_D_11	colonoscopy	11.9924955283	123.0	0.8039215686274509	9.0	0.75	1.0	0.03571428571428571	20.0	0.8695652173913043	90.0	0.4787234042553192	259.0	0.9119718309859156	184.0	0.8720379146919431	5.0	1.0	8.0	0.04651162790697674	296.0	0.891566265060241	9.0	0.8181818181818182	87.0	0.7767857142857143	95.0	0.8636363636363636	26.0	0.7222222222222222	105.0	0.6645569620253164	7.0	0.25925925925925924	86.0	0.7049180327868853
